tx,destination_address,exchange,token_name,token_erc20,number_of_coins_transferred,utc_date_time_of_transfer,utc_date_of_transfer
0x39711cf6ae488904cbf9fb35ec7aad778853a706a2ec94d01812ea460a5c8b2e,0xcffad3200574698b78f32232aa9d63eabd290703,Crypto.com 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,3200, 24 Apr 2023 23:26:11 GMT,2023-04-24
0x190e12a38478915dc2af98c8db97f01df950ddf84649b7b80d35bf77befca851,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,400, 24 Apr 2023 23:26:35 GMT,2023-04-24
0x5c91a7c8e01ea3b009bb88f4d474446b6927078e0524f998e21b7498a823340a,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKX 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,353, 24 Apr 2023 23:28:35 GMT,2023-04-24
0x8fc30aab8e6cecd2738b59c430b24ff0a53ad1dc2e6e86ca5f5e090677e294f6,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,Nexo 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1007, 24 Apr 2023 23:28:59 GMT,2023-04-24
0xc984f78df9c5e979fc5656e83dfab2951a2b5bf5e6c477269386325d14089674,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x7eb9c0929bf769f2054a82c78450cb899123940ee4d5757064eaa6c55f8e0d7c,0x02d24cab4f2c3bf6e6eb07ea07e45f96baccffe7,Coinbase: Commerce Fee 3,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x3be852cf01aa39732e117ae2aa96573f52be1f80c2c50a235777bcc89ee94ca3,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,5, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x16ae04f9c1de316679854f363b56cd6ff6e3964e8bd4eb19060af41cd1a1970e,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xeb40a1d865b11789299de217df4d56abcd9c3439f291d6d443ff4f48abe1762d,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xf373d33485d8044ab9f291db46e791591df0b34f973f6ac6ca94be1ac9e907e2,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:29:11 GMT,2023-04-24
